game_number,category_number,value,category,answer,question,air_date,,,,,,,,,,
0,1,0,INTERNATIONAL GROUPS,The economic bloc known as the G8 became the G7 in 2014 upon the expulsion of this country,Russia,2018-11-12,,,,,,,,,,
0,2,0,INTERNATIONAL GEOGRAPHIC,"By size, it's the largest country that borders only one other country",Canada (borders only the United States),2003-02-04,,,,,,,,,,
0,3,0,I'M SO CUTE!,You might see one of these wild canines during your visit to L.A.,a coyote,2001-09-28,,,,,,,,,,
0,4,0,HOLIDAY QUOTES,"In the end this Dickens character says, ""I will honor Christmas in my heart, and try to keep it all the year\""",Ebenezer Scrooge,1999-09-08,,,,,,,,,,
0,5,0,HOBBIES,"This word comes from the Greek words for ""light"" & ""writing\""",photography,2005-10-13,,,,,,,,,,
0,6,0,HISTORY REPEATS,"This practice officially began in Pakistan in 1977, 44 years after an amendment ended it in the United States",Prohibition,2016-11-14,,,,,,,,,,
0,7,0,HISTORIC WOMEN,"She was born in Virginia around 1596 & died in Kent, England in 1617",Pocahontas,2010-07-06,,,,,,,,,,
0,8,0,HISTORIC TRANSPORTS,"Its principal mast is at Arlington, its foremast is at the Naval Academy & a monument to it, restored in 2013, is located in Havana",the U.S.S. Maine,2014-07-28,,,,,,,,,,
0,9,0,HISTORIC SPEECHES,"He said, ""We look forward to a world founded upon"" freedom of speech, of worship, from want & from fear",Franklin Delano Roosevelt,2009-11-13,,,,,,,,,,
0,10,0,HISTORIC PEOPLE,"At 81, this Pennsylvanian was the oldest delegate at the 1787 Constitutional Convention",Benjamin Franklin,2005-10-14,,,,,,,,,,
0,11,0,HISTORIC GEOGRAPHY,The former kingdom of Saxony is now located in this country,Germany,1997-02-07,,,,,,,,,,
0,12,0,HISTORIC AMERICAN PLACES,"Over 260,000 people have been buried here, starting in 1864",Arlington National Cemetery,2003-02-06,,,,,,,,,,
0,13,0,HIGHER EDUCATION,The 1st public one of these schools began in Illinois in 1901 for students who wanted to pursue higher education in their home area,a community college (or junior college),2008-11-14,,,,,,,,,,
0,14,0,GEOGRAPHIC SUPERLATIVES,"Among the world's rivers, the Nile is the longest & the Jordan holds this geographic distinction",the lowest in elevation,2004-02-13,,,,,,,,,,
0,15,0,FUNDRAISING,In 2011 the city of Savannah granted an exemption allowing the sale of these items outside Juliette Gordon Low's birthplace,Girl Scout cookies,2013-01-31,,,,,,,,,,
0,16,0,FUN WITH NUMBERS,Number of degrees the minute hand on a standard clock travels in one hour,360,1999-09-10,,,,,,,,,,
0,17,0,FORMER WORLD CAPITALS,In 1998 Czar Nicholas II & his wife Alexandra were laid to rest in this city,St. Petersburg,2006-02-17,,,,,,,,,,
0,18,0,FICTIONAL CHARACTERS' LAST WORDS,"In a British novel this young character's last words are, ""Which is better--to have rules & agree, or to hunt & kill?\""",Piggy,2016-11-16,,,,,,,,,,
0,19,0,FICTIONAL BEINGS,"These fictional beings are also called Periannath & Halflings, but this familiar term means ""hole-builders\""",Hobbits,2012-05-01,,,,,,,,,,
0,20,0,FAMOUS TEENAGERS,"This young man who turned 18 on June 21, 2000 has a dog named Widgeon & a younger brother named Harry",Prince William,2000-10-03,,,,,,,,,,
0,21,0,FAMOUS SHIPS,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle,2006-02-06,,,,,,,,,,
0,22,0,FAMOUS LANDMARKS,"Its nose is 4 1/2 feet long, its right arm stretches 42 feet & its torch is 21 feet tall",the Statue of Liberty,2000-10-06,,,,,,,,,,
0,23,0,FAMOUS FIRST NAMES,This first name of a 21st century activist was inspired by that of a Pashtun heroine known as the Afghan Joan of Arc,Malala,2016-11-11,,,,,,,,,,
0,24,0,FAMOUS ASIANS,"When this diplomat met the singer Psy in 2012, he said, ""Until 2 days ago... I was the most famous Korean in the world\""",Ban Ki-moon,2013-02-06,,,,,,,,,,
0,25,0,FADS,"A '50s fad still popular today, this toy was inspired by a Connecticut bakery's pie tins",frisbee,2002-02-05,,,,,,,,,,
0,26,0,EVENTS OF 2010,A piece of custom-made equipment called the Phoenix played a key role in an October event in this country,Chile,2011-02-17,,,,,,,,,,
0,27,0,EMPIRES,"In the early 1800s, this man's empire included the duchy of Warsaw, the kingdom of Naples & Spain",Napoleon,1999-09-07,,,,,,,,,,
0,28,0,EARTH FACTS,"Because of the Earth's rotation, a person at sea level is lightest when standing at this degree of latitude",0 degrees,2008-11-11,,,,,,,,,,
0,29,0,EARLY AMERICA,"William Bradford wrote that this document was partly inspired by the ""mutinous speeches"" of some passengers",the Mayflower Compact,2016-11-22,,,,,,,,,,
0,30,0,DEMOCRATS,Bill Clinton is the first Democrat since this man to be elected president twice,Franklin Delano Roosevelt,1997-02-03,,,,,,,,,,
